name,dong,address,lat,lng,geo,theme,programs,phone,merchant_no
"승원하이테크","경현동","전라남도 나주시 남고문로 11","35.027782","126.712194","naver","차량 정비/부품/인테리어","고유가 피해지원금","061)331-5789","5435996"
"아지트","경현동","전라남도 나주시 남고문로 16-4 일송빌라1층","35.027531","126.71275","naver","커피/음료전문점","고유가 피해지원금","061)336-4725","115666701"
"해밀보리밥","경현동","전라남도 나주시 남고문로 13","35.027949","126.712461","naver","한식","고유가 피해지원금","061)333-6475","107661284"
"하나로가구백화점","경현동","전라남도 나주시 남고문로 10","35.027495","126.7124","naver","일반가구점","고유가 피해지원금","061)332-0018","71851970"
"나미네일","경현동","전라남도 나주시 남고문로 11 나미네일","35.027742","126.712117","naver","피부미용원","고유가 피해지원금","061)332-1175","96150357"
"금호카모터스","경현동","전남 나주시 경현동","35.041221","126.699535","dong","차량 정비/부품/인테리어","고유가 피해지원금","061)333-5989","79836581"
"나드리케어","경현동","전라남도 나주시 구진포로 505-2 1층","35.011599","126.712287","naver","의료기기 및 용품","고유가 피해지원금","061)333-3035","111198677"
"하이플라워","경현동","전라남도 나주시 남고문로 8 하이플라워","35.027341","126.712112","naver","화원","고유가 피해지원금","061)334-8245","52761631"
"부림판넬","경현동","전라남도 나주시 건재로 11","35.036509","126.713257","naver","건축자재","고유가 피해지원금","061)331-1595","110865031"
"개미카밧데리","경현동","전라남도 나주시 건재로 5 남도모터스/노루표페인트","35.03606","126.712772","naver","차량 정비/부품/인테리어","고유가 피해지원금","061)331-4186","25471461"
"제일철강","경현동","전라남도 나주시 영산로 5335","35.035528","126.712426","naver","건축자재","고유가 피해지원금","061)332-6506","18223311"
"(주)카럽","경현동","전라남도 나주시 예향로 4206","35.028149","126.710744","naver","차량 정비/부품/인테리어","고유가 피해지원금","061)332-5532","106918397"
"남문냉동","경현동","전라남도 나주시 풍물시장2길 5-4","34.992867","126.706781","naver","가전제품점","고유가 피해지원금","061)333-2779","86461612"
